locus_tag,product,protein_id,pseudo,gene_name_or_id,gene_gene,gene_biotype,old_locus_tag
TX50_RS00020,DNA polymerase III subunit beta,WP_011131639.1,,dnaN,dnaN,protein_coding,PMM0001
TX50_RS00030,phosphoribosylformylglycinamidine synthase subunit PurL,WP_011131641.1,,purL,purL,protein_coding,PMM0003
